,Id,Primary Title,Original Title,Year,Genres,Average Rating,# of Votes
465,tt0110216,Junior, Junior,1994, Comedy&Romance&Sci-Fi,4.6,65692
466,tt0110226,Coffee with Lemon, Kafe im Limon,1994, Drama,7.1,12
467,tt0110247,Kawao tee Bangpleng, Kawao tee Bangpleng,1994, Sci-Fi,5.2,41
468,tt0110330,Les Milles, Les Milles,1995, Drama&War,6.2,264
469,tt0110340,The Lovers, Liang zhu,1994, Drama&Fantasy&Romance,7.2,793
470,tt0110380,The Most Wanted, Lung foo san fung wan: Tau ho tung kap faan,1994, Action&Crime&Thriller,6.4,51
471,tt0110418,Circus Kids, Ma hei siu chi,1994, Action,5.7,121
472,tt0110625,Nan quan wang, Nan quan wang,1984, Action,6.3,70
473,tt0110684,Nobodys Fool, Nobodys Fool,1994, Comedy&Drama,7.4,18928
474,tt0110912,Pulp Fiction, Pulp Fiction,1994, Crime&Drama,8.9,1854738
475,tt0110923,Wonder Seven, 7 jin gong,1994, Action,5.6,250
476,tt0110980,The Returning, Dang cheuk nei wooi loi,1994, Drama&Horror,6.4,99
477,tt0111063,Oh! My Three Guys, San ge xiang ai de shao nian,1994, Comedy,6.7,42
478,tt0111161,The Shawshank Redemption, The Shawshank Redemption,1994, Drama,9.3,2380972
479,tt0111165,Shen long du sheng: Qi kai de sheng, Shen long du sheng: Qi kai de sheng,1994, Comedy,4.7,50
480,tt0111167,I Wanna Be Your Man, San taam Moh Luk,1994, Romance,5.7,19
481,tt0111247,Le sourire, Le sourire,1994, Comedy&Drama,5.7,363
482,tt0111424,The Day the Sun Turned Cold, Tian guo ni zi,1994, Crime&Drama&Mystery,6.9,224
483,tt0111662,The Tragic Fantasy: Tiger of Wanchai, Wan Chai ji foo,1994, Action&Crime&Thriller,6.3,63
484,tt0111751,Crows, Wrony,1994, Drama,7.2,593
485,tt0111752,The Wooden Mans Bride, Wu Kui,1994, Drama,6.8,216
486,tt0111767,Summer Snow, Nu ren si shi,1995, Comedy&Drama,7.8,583
487,tt0111771,Revanchist, Xin bao chou,1994, Adult,6.6,8
488,tt0111773,Bloody Brothers, Xin da xiao bu liang,1994, N/A,5.1,15
489,tt0111776,The Maidens of Heavenly Mountains, San tin lung bat bo: Tin San Tung Lo,1994, Action&Fantasy,5.9,483
490,tt0111778,Return to a Better Tomorrow, San ying hung boon sik,1994, Action&Crime&Thriller,6.0,275
491,tt0111786,In the Heat of the Sun, Yang guang can lan de ri zi,1994, Drama&Romance,8.2,3974
492,tt0111797,Eat Drink Man Woman, Yin shi nan nu,1994, Comedy&Drama&Romance,7.8,19112
493,tt0111830,The Third Full Moon, Zheng yue shi wu zhi yi sheng yi shi,1994, Horror,6.0,19
494,tt0111849,Tears and Triumph, Zuo ye chang feng,1994, Romance,6.5,15
495,tt0112348,American Daughter, Amerikanskaya doch,1995, Comedy&Drama,6.3,522
496,tt0112398,Ashita, Ashita,1995, N/A,5.2,49
497,tt0112476,Belmonte, Belmonte,1995, Biography,6.3,78
498,tt0112579,The Bridges of Madison County, The Bridges of Madison County,1995, Drama&Romance,7.6,74374
499,tt0112591,Another Sky, Bu yi yang de ma ma,1995, Comedy&Drama&Horror,5.7,17
500,tt0112767,Cyclo, Xích Lô,1995, Crime&Drama,7.3,4767
501,tt0112778,A Chinese Odyssey Part One: Pandoras Box, Sai yau gei: Yut gwong bou haap,1995, Action&Adventure&Comedy,7.7,6309
502,tt0112779,Only Fools Fall in Love, Daai lo baai sau,1995, Comedy&Drama&History,6.5,154
503,tt0112808,A ba de qing ren, A ba de qing ren,1995, N/A,7.4,22
504,tt0112818,Dead Man Walking, Dead Man Walking,1995, Crime&Drama,7.5,89505
505,tt0113198,A Goofy Movie, A Goofy Movie,1995, Adventure&Animation&Comedy,6.9,47173
506,tt0113245,Hai gen, Hai gen,1995, Drama,6.8,13
507,tt0113353,Happy Hour, Huan le shi guang,1995, Comedy&Drama,6.5,31
508,tt0113568,Ghost in the Shell, Kôkaku Kidôtai,1995, Action&Animation&Crime,8.0,131388
509,tt0113672,Doctor Mack, Liu mang yi sheng,1995, Comedy&Drama,6.9,461
510,tt0113825,On the Beat, Min jing gu shi,1995, Comedy,7.0,151
511,tt0113930,Nanjing 1937, Nanjing 1937,1995, Drama&History&War,5.1,223
512,tt0114013,Maiden Rosé, Nu er hong,1995, N/A,7.3,29
513,tt0114014,Tough Beauty and the Sloppy Slop, No hoi wai lung,1995, Action,5.9,38
514,tt0114212,O Quatrilho, O Quatrilho,1995, Drama&Romance,6.7,1347
515,tt0114243,Red Cherry, Hong ying tao,1995, Drama&War,6.9,677
516,tt0114369,Se7en, Se7en,1995, Crime&Drama&Mystery,8.6,1470118
517,tt0114412,The Golden Girls, San shui yau seung fung,1995, Comedy&Drama&Romance,6.6,59
518,tt0114452,Sinais de Fogo, Sinais de Fogo,1995, Drama&Romance,6.3,73
519,tt0114466,Skinner, Skinner,1993, Horror,5.1,829
520,tt0114861,White Lies, Vita lögner,1995, Comedy&Drama,5.2,110
521,tt0114887,A Walk in the Clouds, A Walk in the Clouds,1995, Drama&Romance,6.7,32046
522,tt0114991,Loving You, Mou mei san taam,1995, Action&Crime&Drama,6.4,345
523,tt0114996,A Chinese Odyssey Part Two: Cinderella, Sai yau gei: Sin leui kei yun,1995, Action&Adventure&Comedy,8.0,6464
524,tt0115003,New Tenant, San fong hak,1995, Drama&Mystery&Thriller,6.4,49
525,tt0115016,The Phantom Lover, Ye ban ge sheng,1995, Drama&Music&Romance,6.4,751
526,tt0115028,Postman, Youchai,1995, Drama,6.3,155
527,tt0115050,Tricky Business, Jing goo wong,1995, Comedy&Romance,5.6,81
528,tt0115054,Zhong e Lie Che da jie an, Zhong e Lie Che da jie an,1995, Action&Crime,4.0,13
529,tt0115055,Once in a Lifetime, Zhong sheng da shi,1995, Comedy&Romance,5.6,11
530,tt0115056,Romantic Dream, Zhui nui zi 95: Zhi qi meng,1995, Comedy&Fantasy&Romance,6.5,44
531,tt0115454,Elenas Redemption, Abot kamay ang pangarap,1996, Crime&Drama,6.2,25
532,tt0115462,Actresses, Actrius,1997, Drama,6.8,129
533,tt0115538,Anantha Rathriya, Anantha Rathriya,1996, Drama,7.0,38
